Nama Merchant;Tanggal Transaksi;Nomor Transaksi;Nominal Transaksi;Tip;Harga;Total Terbayar;MDR;Tipe QR;Terminal;Issuer;Nomor Tagihan;No. Referensi Tagihan;Status;Status Pelimpahan Dana
Warung FIFGROUP 3;30/04/2026 10:55;INV/QRM/4B1VJ7/260430/29G7RFZC;15000;0;15000;Rp15.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:54;INV/QRM/4B1VJ7/260430/29D7H513;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:54;INV/QRM/4B1VJ7/260430/29C6FGY3;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:53;INV/QRM/4B1VJ7/260430/2997KLF5;2500;0;2500;Rp2.500,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:51;INV/QRM/4B1VJ7/260430/29522FQ5;41000;0;41000;Rp41.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:50;INV/QRM/4B1VJ7/260430/290YAN2M;58000;0;58000;Rp58.000,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:48;INV/QRM/4B1VJ7/260430/28VOK78Y;35000;0;35000;Rp35.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:43;INV/QRM/4B1VJ7/260430/28HLYX69;86500;0;86500;Rp86.500,00;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:32;INV/QRM/4B1VJ7/260430/27O7TINL;21000;0;21000;Rp21.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:28;INV/QRM/4B1VJ7/260430/27CJ9P0X;23000;0;23000;Rp23.000,00;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 3;30/04/2026 10:26;INV/QRM/4B1VJ7/260430/276JP4N9;23000;0;23000;Rp23.000,00;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
