Nama Merchant;Tanggal Transaksi;Nomor Transaksi;Nominal Transaksi;Tip;Harga;Total Terbayar;MDR;Tipe QR;Terminal;Issuer;Nomor Tagihan;No. Referensi Tagihan;Status;Status Pelimpahan Dana
Warung FIFGROUP 2;2026-05-07 15:44:55;INV/QRM/4B1VJ6/260507/3B6FG3L5;15000;0;15000;15000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 15:42:28;INV/QRM/4B1VJ6/260507/3B04NZF0;4500;0;4500;4500;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 15:40:01;INV/QRM/4B1VJ6/260507/3ATTRIDW;20000;0;20000;20000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 15:39:11;INV/QRM/4B1VJ6/260507/3ARBWV2D;2500;0;2500;2500;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 14:57:55;INV/QRM/4B1VJ6/260507/34GRU4AL;23000;0;23000;23000;0;STATIC;A001;BRI;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 13:20:59;INV/QRM/4B1VJ6/260507/2TWBUBNR;40000;0;40000;40000;0;STATIC;A001;DIGITAL_BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 12:05:41;INV/QRM/4B1VJ6/260507/2L0DWCNJ;11000;0;11000;11000;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 11:49:12;INV/QRM/4B1VJ6/260507/2GO0CE8B;80000;0;80000;80000;0;STATIC;A001;BNI;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 11:00:30;INV/QRM/4B1VJ6/260507/2CWEMWUG;11000;0;11000;11000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 2;2026-05-07 10:35:22;INV/QRM/4B1VJ6/260507/27VMQT2E;10000;0;10000;10000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
