Nama Merchant;Tanggal Transaksi;Nomor Transaksi;Nominal Transaksi;Tip;Harga;Total Terbayar;MDR;Tipe QR;Terminal;Issuer;Nomor Tagihan;No. Referensi Tagihan;Status;Status Pelimpahan Dana
Warung FIFGROUP 1;2026-05-07 15:57:53;INV/QRM/4B1VJ5/260507/3C6H4L2V;27500;0;27500;27500;0;STATIC;A001;PERMATA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-07 15:37:15;INV/QRM/4B1VJ5/260507/3ALVT4AB;50000;0;50000;50000;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-07 15:28:49;INV/QRM/4B1VJ5/260507/39XTQMR1;15000;0;15000;15000;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-07 15:04:06;INV/QRM/4B1VJ5/260507/381YZJTO;36000;0;36000;36000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-07 12:44:45;INV/QRM/4B1VJ5/260507/2O0T76NO;35000;0;35000;35000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-07 12:19:44;INV/QRM/4B1VJ5/260507/2M3C8NFR;2500;0;2500;2500;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-07 11:25:54;INV/QRM/4B1VJ5/260507/2EUIUKZF;35000;0;35000;35000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-07 10:44:56;INV/QRM/4B1VJ5/260507/28LKMEHL;14000;0;14000;14000;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-07 09:46:30;INV/QRM/4B1VJ5/260507/210MCQZZ;40000;0;40000;40000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 16:07:15;INV/QRM/4B1VJ5/260506/3G0B9H9S;444000;0;444000;444000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 15:43:51;INV/QRM/4B1VJ5/260506/3B3JFZFD;23000;0;23000;23000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 14:58:14;INV/QRM/4B1VJ5/260506/34IEUOXZ;15000;0;15000;15000;0;STATIC;A001;SHOPEE;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 14:36:09;INV/QRM/4B1VJ5/260506/32T5HJX3;18000;0;18000;18000;0;STATIC;A001;OVO;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 13:02:02;INV/QRM/4B1VJ5/260506/2SGQ60I0;44000;0;44000;44000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 12:41:06;INV/QRM/4B1VJ5/260506/2NRETGVI;46000;0;46000;46000;0;STATIC;A001;93600472;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 12:24:49;INV/QRM/4B1VJ5/260506/2MHDMG6O;18000;0;18000;18000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 11:20:18;INV/QRM/4B1VJ5/260506/2EFMN7IC;15000;0;15000;15000;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 11:19:46;INV/QRM/4B1VJ5/260506/2EDMBUXR;18000;0;18000;18000;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 10:57:26;INV/QRM/4B1VJ5/260506/29KUB3AV;18500;0;18500;18500;0;STATIC;A001;ASTRAPAY;;;BERHASIL;DALAM PROSES
Warung FIFGROUP 1;2026-05-06 10:25:57;INV/QRM/4B1VJ5/260506/274T8S80;15000;0;15000;15000;0;STATIC;A001;BCA;;;BERHASIL;DALAM PROSES
